Mercedes-Benz ,G-Class ,III (W463) 2018 – now ,
Mercedes-Benz ,GLC ,I (X253) Restyling 2019 – now ,
Mercedes-Benz ,GLE ,II (V167) 2018 – now ,
Mercedes-Benz ,GLE Coupe ,II (C167) 2019 – now ,
Mercedes-Benz ,G-Class AMG ,II (W463) 2018 – now ,
Mitsubishi ,Outlander ,III Restyling 3 2018 – now ,
Audi ,Q7 ,II (4M) Restyling 2019 – now ,
Volkswagen ,Multivan ,T6 Restyling 2019 – now ,
Jaguar ,F-Pace ,I 2016 – now ,
Volkswagen ,Caravelle ,T6 Restyling 2019 – now ,
Nissan ,Qashqai ,II Restyling 2017 – now ,
Audi ,A4 ,V (B9) Restyling 2019 – now ,
Nissan ,X-Trail ,III Restyling 2017 – now ,
Infiniti ,QX60 ,I Restyling 2016 – now ,
Infiniti ,QX50 ,II 2017 – now ,
Skoda ,Karoq ,I 2017 – now ,
Haval ,F7 ,i 2019 – now ,
Mercedes-Benz ,E-Class ,"V (W213, S213, C238) Restyling 2020 – now ",
Volkswagen ,Amarok ,I Restyling 2016 – now ,
Mercedes-Benz ,CLA ,"II (C118, X118) 2019 – now ",
Audi ,Q5 ,II (FY) 2017 – now ,
Mercedes-Benz ,V-Class ,II 2014 – now ,
Mercedes-Benz ,C-Class ,IV (W205) Restyling 2018 – now ,
Audi ,A6 ,V (C8) 2018 – now ,
Mercedes-Benz ,Maybach S-Class ,I (X222) Restyling 2017 – now ,
Mercedes-Benz ,GLA ,II (H247) 2020 – now ,
Mitsubishi ,ASX ,I Restyling 2 2016 – now ,
Mercedes-Benz ,GLC Coupe ,I (C253) Restyling 2019 – now ,
Mitsubishi ,Pajero Sport ,III 2015 – now ,
Nissan ,Terrano ,III (D10) 2014 – now ,
Renault ,Duster ,I Restyling 2015 – now ,
LADA (VAZ) ,Vesta ,I 2015 – now ,
LADA (VAZ) ,Granta ,I Restyling 2018 – now ,
Skoda ,Rapid ,II 2020 – now ,
Jeep ,Wrangler ,IV (JL) 2017 – now ,
Volvo ,XC90 ,II Restyling 2019 – now ,
Mercedes-Benz ,E-Class AMG ,V (W213) Restyling 2020 – now ,
Volvo ,XC40 ,I 2017 – now ,
Mercedes-Benz ,GLE AMG ,II (V167) 2019 – now ,
Jeep ,Grand Cherokee ,IV (WK2) Restyling 2013 – now ,
Volvo ,XC60 ,II 2017 – now ,
BMW ,X6 ,III (G06) 2019 – now ,
Jaguar ,E-Pace ,I 2017 – now ,
Mitsubishi ,Eclipse Cross ,2017 – now ,
Audi ,Q3 ,II (F3) 2018 – now ,
Toyota ,RAV4 ,V (XA50) 2018 – now ,
Mercedes-Benz ,AMG GT ,I Restyling 2017 – now ,
Toyota ,Camry ,VIII (XV70) 2017 – now ,
Audi ,Q3 Sportback ,I (F3) 2019 – now ,
Renault ,Sandero ,II Restyling 2018 – now ,
Volvo ,S60 ,III 2018 – now ,
BMW ,X1 ,II (F48) Restyling 2019 – now ,
Land Rover ,Range Rover ,IV Restyling 2017 – now ,
Haval ,F7x ,I 2019 – now ,
Volvo ,V60 Cross Country ,II 2018 – now ,
Mercedes-Benz ,C-Class AMG ,IV (W205) Restyling 2018 – now ,
Skoda ,Rapid ,I Restyling 2017 – now ,
Mercedes-Benz ,A-Class AMG ,II (W177) 2019 – now ,
MINI ,Hatch ,III (F55/F56) Restyling 2018 – now ,
Mercedes-Benz ,GLE Coupe AMG ,II (C167) 2019 – now ,
BMW ,7 series ,VI (G11/G12) Restyling 2019 – now ,
Hyundai ,Sonata ,VIII (DN8) 2019 – now ,
Hyundai ,Solaris ,II Restyling 2020 – now ,
BMW ,X3 ,III (G01) 2017 – now ,
BMW ,X5 ,IV (G05) 2018 – now ,
BMW ,X2 ,I (F39) 2017 – now ,
BMW ,3 series ,VII (G2x) 2018 – now ,
Audi ,A8 ,IV (D5) 2017 – now ,
BMW ,2 series ,F44 2019 – now ,
Audi ,SQ7 ,I (4M) Restyling 2019 – now ,
BMW ,8 series ,II (G14/G15/G16) 2018 – now ,
YAZ ,Patriot ,I Restyling 3 2016 – now ,
Mercedes-Benz ,GLS AMG ,II (X167) 2020 – now ,
BMW ,X6 M ,III (F96) 2019 – now ,
Land Rover ,Range Rover Velar ,I 2017 – now ,
Hyundai ,Tucson ,III Restyling 2018 – now ,
Land Rover ,Range Rover Evoque ,II 2018 – now ,
Suzuki ,Vitara ,II Restyling 2018 – now ,
Suzuki ,Jimny ,IV 2018 – now ,
Citroen ,C4 ,II Restyling 2015 – now ,
Land Rover ,Discovery ,V 2016 – now ,
Citroen ,SpaceTourer ,I 2016 – now ,
Renault ,Arkana ,I 2019 – now ,
Land Rover ,Range Rover Sport ,II Restyling 2017 – now ,
Volkswagen ,Polo ,VI 2020 – now ,
Skoda ,Octavia ,IV (A8) 2019 – now ,
Renault ,Logan ,II Restyling 2018 – now ,
Skoda ,Octavia ,III (A7) Restyling 2017 – now ,
Volkswagen ,Passat ,B8 Restyling 2019 – now ,
BMW ,M8 ,I (F91/F92/F93) 2019 – now ,
Volkswagen ,Tiguan ,II 2016 – now ,
BMW ,X5 M ,III (F95) 2019 – now ,
BMW ,X7 ,I (G07) 2018 – now ,
Haval ,H9 ,I Restyling 2017 – now ,
Suzuki ,SX4 ,II (S-Cross) Restyling 2016 – now ,
Citroen ,C5 Aircross ,I 2018 – now ,
Peugeot ,Traveller ,I 2016 – now ,
Peugeot ,408,I Restyling 2017 – now ,
Peugeot ,3008,II 2016 – now ,
Mercedes-Benz ,A-Class ,IV (W177) 2018 – now ,
Citroen ,C3 Aircross ,2017 – now ,
LADA (VAZ) ,XRAY ,I 2015 – now ,
Changan ,CS35PLUS ,2018 – now ,
Audi ,A7 ,II (4K) 2018 – now ,
Volkswagen ,Touareg ,III 2018 – now ,
Mercedes-Benz ,GLB ,I (X247) 2019 – now ,
Infiniti ,Q60 ,II 2016 – now ,
Volvo ,V90 Cross Country ,I 2016 – now ,
Mercedes-Benz ,CLS ,III (C257) 2017 – now ,
Chevrolet ,Cobalt ,II Restyling 2020 – now ,
Jeep ,Compass ,II 2017 – now ,
BMW ,X4 ,II (G02) 2018 – now ,
Volkswagen ,Caddy ,IV 2015 – now ,
BMW ,Z4 ,III (G29) 2018 – now ,
Chevrolet ,Nexia ,I 2020 – now ,
Volkswagen ,Jetta ,VII 2018 – now ,
Bentley ,Continental GT ,I 2003 – 2011 ,
Cadillac ,Escalade ,III 2006 – 2014 ,
LADA (VAZ) ,1111 Ока ,1987 – 2008 ,
Lamborghini ,Huracán ,2014 – now ,
BMW ,M5 ,VI (F90) 2017 – now ,
BMW ,M5 ,VI (F90) Restyling 2020 – now ,
Mercedes-Benz ,GL-Class ,I (X164) Restyling 2009 – 2012 ,
Kia ,Stinger ,I 2017 – now ,
LADA (VAZ) ,2110,1995 – 2014 ,
Toyota ,Sequoia ,II 2008 – 2017 ,
BMW ,i8 ,I 2014 – 2017 ,
Volkswagen ,Golf R ,VII 2013 – 2017 ,
Toyota ,FJ Cruiser ,2006 – now ,
Rolls-Royce ,Wraith ,2013 – now ,
Bentley ,Continental GT ,II 2011 – 2015 ,
Hyundai ,H-1 ,II Restyling 2015 – 2018 ,
Suzuki ,Jimny ,III Restyling 1 2005 – 2012 ,
Cadillac ,Escalade ,IV 2014 – now ,
Lexus ,ES ,VII 2018 – now ,
Toyota ,Land Cruiser ,200 Series Restyling 2 2015 – now ,
Subaru ,Forester ,IV 2012 – 2015 ,
Mercedes-Benz ,GLE Coupe ,I (C292) 2015 – 2019 ,
Mercedes-Benz ,GL-Class ,II (X166) 2012 – 2016 ,
Chevrolet ,Express ,II 2002 – now ,
Dodge ,Charger ,VI (LD) Restyling 2014 – now ,
Porsche ,Cayenne Coupe ,I 2019 – now ,
Volkswagen ,Multivan ,T5 2003 – 2009 ,
Dodge ,Challenger ,III Restyling 2 2014 – now ,
Porsche ,Panamera ,II 2016 – now ,
Mercedes-Benz ,G-Class AMG ,I (W463) Restyling 2008 – 2012 ,
BMW ,7 series ,VI (G11/G12) 2015 – 2019 ,
Nissan ,Patrol ,VI (Y62) Restyling 2014 – now ,
Infiniti ,QX56 ,II 2010 – 2013 ,
Lexus ,IS ,III 2013 – 2016 ,
Genesis ,G80 ,I 2016 – now ,
Honda ,CR-V ,I Restyling 1999 – 2001 ,
Audi ,80,V (B4) 1991 – 1996 ,
BMW ,X6 ,II (F16) 2014 – now ,
Skoda ,Superb ,II Restyling 2013 – 2015 ,
Land Rover ,Discovery ,IV 2009 – 2013 ,
Volkswagen ,Touareg ,II 2010 – 2014 ,
Land Rover ,Discovery ,III 2004 – 2009 ,
Toyota ,Camry ,VII (XV50) 2011 – 2014 ,
Hyundai ,Creta ,I 2016 – now ,
BMW ,7 series ,V (F01/F02/F04) 2008 – 2012 ,
Dodge ,Caravan ,V 2007 – now ,
Volvo ,XC70 ,II Restyling 2013 – 2016 ,
Lincoln ,Navigator ,IV 2017 – now ,
Land Rover ,Freelander ,II Restyling 2 2012 – 2014 ,
Land Rover ,Range Rover Sport ,II 2013 – 2017 ,
Skoda ,Superb ,II 2008 – 2013 ,
Bentley ,Bentayga ,I 2015 – now ,
BMW ,X1 ,I (E84) Restyling 2012 – 2015 ,
Skoda ,Rapid ,I 2012 – 2017 ,
Mercedes-Benz ,GLC Coupe ,I (C253) 2016 – 2019 ,
BMW ,5 series ,VI (F10/F11/F07) Restyling 2013 – 2017 ,
Skoda ,Octavia ,III (A7) 2013 – 2017 ,
Mazda ,CX-5 ,II 2017 – now ,
BMW ,X5 M ,II (F85) 2014 – 2018 ,
LADA (VAZ) ,2114,2001 – 2013 ,
BMW ,4 series ,F32/F33/F36 Restyling 2017 – now ,
Audi ,A3 ,II (8P) Restyling 2 2008 – 2013 ,
Mercedes-Benz ,GLA ,I (X156) Restyling 2017 – now ,
Chevrolet ,Tahoe ,IV 2014 – now ,
BMW ,X5 ,III (F15) 2013 – 2018 ,
Dodge ,RAM ,IV (DS/DJ) 2008 – 2019 ,
Renault ,Duster ,I 2010 – 2015 ,
Ford ,Mondeo ,IV 2006 – 2010 ,
Lexus ,LX ,III Restyling 2 2015 – now ,
